customer_key,customer_id,first_name,last_name,email,signup_date,loyalty_tier,region_key
31,31,Customer31,LN31,customer31@shopmail.com,2023-06-03,Bronze,4
32,32,Customer32,LN32,customer32@shopmail.com,2022-09-19,Gold,3
33,33,Customer33,LN33,customer33@shopmail.com,2022-04-16,Bronze,1
34,34,Customer34,LN34,customer34@shopmail.com,2023-09-30,Silver,2
35,35,Customer35,LN35,customer35@shopmail.com,2024-10-18,Silver,2
36,36,Customer36,LN36,customer36@shopmail.com,2022-03-15,Bronze,4
37,37,Customer37,LN37,customer37@shopmail.com,2024-09-14,Gold,3
38,38,Customer38,LN38,customer38@shopmail.com,2024-08-09,Bronze,5
39,39,Customer39,LN39,customer39@shopmail.com,2022-11-15,Gold,3
40,40,Customer40,LN40,customer40@shopmail.com,2023-12-28,Silver,4
41,41,Customer41,LN41,customer41@shopmail.com,2022-07-10,Bronze,1
42,42,Customer42,LN42,customer42@shopmail.com,2024-05-21,Bronze,2
43,43,Customer43,LN43,customer43@shopmail.com,2024-03-16,Bronze,1
44,44,Customer44,LN44,customer44@shopmail.com,2023-02-12,Bronze,5
45,45,Customer45,LN45,customer45@shopmail.com,2022-03-20,Bronze,7
46,46,Customer46,LN46,customer46@shopmail.com,2025-01-21,Gold,1
47,47,Customer47,LN47,customer47@shopmail.com,2023-05-28,Bronze,7
48,48,Customer48,LN48,customer48@shopmail.com,2024-10-24,Silver,5
49,49,Customer49,LN49,customer49@shopmail.com,2024-02-19,Bronze,4
50,50,Customer50,LN50,customer50@shopmail.com,2024-06-14,Gold,3
51,51,Customer51,LN51,customer51@shopmail.com,2024-05-23,Bronze,1
52,52,Customer52,LN52,customer52@shopmail.com,2022-08-12,Bronze,2
53,53,Customer53,LN53,customer53@shopmail.com,2023-02-23,Silver,3
54,54,Customer54,LN54,customer54@shopmail.com,2023-06-21,Bronze,3
55,55,Customer55,LN55,customer55@shopmail.com,2023-07-27,Silver,2
56,56,Customer56,LN56,customer56@shopmail.com,2022-02-20,Bronze,3
57,57,Customer57,LN57,customer57@shopmail.com,2023-09-21,Silver,3
58,58,Customer58,LN58,customer58@shopmail.com,2022-06-27,Silver,7
59,59,Customer59,LN59,customer59@shopmail.com,2024-05-04,Silver,4
60,60,Customer60,LN60,customer60@shopmail.com,2024-02-25,Bronze,5
61,61,Customer61,LN61,customer61@shopmail.com,2024-11-26,Bronze,5
62,62,Customer62,LN62,customer62@shopmail.com,2024-05-06,Bronze,5
63,63,Customer63,LN63,customer63@shopmail.com,2023-02-26,Bronze,5
64,64,Customer64,LN64,customer64@shopmail.com,2025-01-17,Bronze,5
65,65,Customer65,LN65,customer65@shopmail.com,2023-04-18,Gold,5
66,66,Customer66,LN66,customer66@shopmail.com,2023-01-10,Silver,7
67,67,Customer67,LN67,customer67@shopmail.com,2024-11-07,Silver,5
68,68,Customer68,LN68,customer68@shopmail.com,2023-03-03,Bronze,2
69,69,Customer69,LN69,customer69@shopmail.com,2022-03-29,Bronze,2
70,70,Customer70,LN70,missing_70@shopmail.com,2023-06-24,Silver,3
71,71,Customer71,LN71,customer71@shopmail.com,2024-07-04,Bronze,3
72,72,Customer72,LN72,customer72@shopmail.com,2022-08-06,Bronze,5
73,73,Customer73,LN73,customer73@shopmail.com,2023-06-17,Bronze,4
74,74,Customer74,LN74,customer74@shopmail.com,2022-05-30,Silver,7
75,75,Customer75,LN75,missing_75@shopmail.com,2024-02-29,Gold,2
76,76,Customer76,LN76,customer76@shopmail.com,2023-07-02,Bronze,1
77,77,Customer77,LN77,customer77@shopmail.com,2023-01-15,Bronze,4
78,78,Customer78,LN78,customer78@shopmail.com,2022-09-18,Bronze,2
79,79,Customer79,LN79,customer79@shopmail.com,2023-10-12,Bronze,7
80,80,Customer80,LN80,customer80@shopmail.com,2024-02-10,Silver,5
81,81,Customer81,LN81,customer81@shopmail.com,2024-12-17,Bronze,4
82,82,Customer82,LN82,customer82@shopmail.com,2023-05-18,Silver,5
83,83,Customer83,LN83,customer83@shopmail.com,2022-07-04,Bronze,2
84,84,Customer84,LN84,customer84@shopmail.com,2024-08-15,Bronze,1
85,85,Customer85,LN85,customer85@shopmail.com,2023-12-26,Gold,5
86,86,Customer86,LN86,customer86@shopmail.com,2024-03-16,Bronze,1
87,87,Customer87,LN87,customer87@shopmail.com,2022-04-22,Silver,7
88,88,Customer88,LN88,customer88@shopmail.com,2022-12-26,Bronze,4
89,89,Customer89,LN89,customer89@shopmail.com,2024-06-02,Gold,2
90,90,Customer90,LN90,customer90@shopmail.com,2024-08-15,Bronze,5
91,91,Customer91,LN91,customer91@shopmail.com,2023-05-16,Bronze,3
92,92,Customer92,LN92,customer92@shopmail.com,2024-07-14,Silver,1
93,93,Customer93,LN93,customer93@shopmail.com,2024-08-25,Bronze,2
94,94,Customer94,LN94,customer94@shopmail.com,2023-03-22,Bronze,3
95,95,Customer95,LN95,customer95@shopmail.com,2024-10-29,Gold,1
96,96,Customer96,LN96,customer96@shopmail.com,2022-11-28,Silver,4
97,97,Customer97,LN97,customer97@shopmail.com,2022-10-03,Silver,5
98,98,Customer98,LN98,customer98@shopmail.com,2024-02-24,Silver,4
99,99,Customer99,LN99,customer99@shopmail.com,2024-01-03,Silver,3
100,100,Customer100,LN100,customer100@shopmail.com,2022-06-10,Gold,4
101,101,Customer101,LN101,customer101@shopmail.com,2024-08-15,Silver,5
102,102,Customer102,LN102,customer102@shopmail.com,2022-08-18,Bronze,5
103,103,Customer103,LN103,customer103@shopmail.com,2024-07-14,Bronze,4
104,104,Customer104,LN104,customer104@shopmail.com,2022-01-09,Silver,1
105,105,Customer105,LN105,customer105@shopmail.com,2024-07-05,Silver,2
106,106,Customer106,LN106,customer106@shopmail.com,2024-06-23,Bronze,5
107,107,Customer107,LN107,customer107@shopmail.com,2024-06-16,Bronze,7
108,108,Customer108,LN108,customer108@shopmail.com,2024-02-04,Bronze,3
109,109,Customer109,LN109,customer109@shopmail.com,2023-06-27,Silver,6
110,110,Customer110,LN110,customer110@shopmail.com,2024-03-21,Silver,4
111,111,Customer111,LN111,customer111@shopmail.com,2022-11-15,Bronze,5
112,112,Customer112,LN112,customer112@shopmail.com,2024-06-16,Silver,7
113,113,Customer113,LN113,customer113@shopmail.com,2023-10-01,Silver,3
114,114,Customer114,LN114,customer114@shopmail.com,2023-06-12,Gold,2
115,115,Customer115,LN115,customer115@shopmail.com,2023-08-05,Bronze,4
116,116,Customer116,LN116,customer116@shopmail.com,2023-10-17,Gold,4
117,117,Customer117,LN117,missing_117@shopmail.com,2022-02-12,Silver,4
118,118,Customer118,LN118,customer118@shopmail.com,2022-06-10,Silver,1
119,119,Customer119,LN119,customer119@shopmail.com,2022-10-10,Bronze,3
120,120,Customer120,LN120,customer120@shopmail.com,2022-05-12,Silver,2
121,121,Customer121,LN121,customer121@shopmail.com,2023-05-21,Silver,7
122,122,Customer122,LN122,customer122@shopmail.com,2024-02-08,Bronze,5
123,123,Customer123,LN123,customer123@shopmail.com,2024-01-23,Bronze,5
124,124,Customer124,LN124,customer124@shopmail.com,2023-06-26,Silver,7
125,125,Customer125,LN125,customer125@shopmail.com,2024-09-10,Silver,2
126,126,Customer126,LN126,customer126@shopmail.com,2023-10-13,Bronze,7
127,127,Customer127,LN127,customer127@shopmail.com,2022-04-02,Bronze,4
128,128,Customer128,LN128,customer128@shopmail.com,2024-05-29,Bronze,5
129,129,Customer129,LN129,customer129@shopmail.com,2023-10-23,Gold,7
130,130,Customer130,LN130,customer130@shopmail.com,2023-12-31,Gold,5
131,131,Customer131,LN131,customer131@shopmail.com,2023-10-13,Bronze,4
132,132,Customer132,LN132,customer132@shopmail.com,2023-09-29,Bronze,1
133,133,Customer133,LN133,customer133@shopmail.com,2022-04-15,Bronze,1
134,134,Customer134,LN134,customer134@shopmail.com,2023-10-06,Bronze,2
135,135,Customer135,LN135,customer135@shopmail.com,2024-07-03,Gold,7
136,136,Customer136,LN136,customer136@shopmail.com,2022-12-16,Silver,2
137,137,Customer137,LN137,customer137@shopmail.com,2023-11-25,Bronze,1
138,138,Customer138,LN138,customer138@shopmail.com,2022-02-05,Bronze,5
139,139,Customer139,LN139,customer139@shopmail.com,2023-02-04,Bronze,2
140,140,Customer140,LN140,customer140@shopmail.com,2023-05-18,Silver,3
141,141,Customer141,LN141,customer141@shopmail.com,2025-02-04,Silver,1
142,142,Customer142,LN142,customer142@shopmail.com,2022-09-04,Silver,2
143,143,Customer143,LN143,customer143@shopmail.com,2022-11-15,Bronze,5
144,144,Customer144,LN144,customer144@shopmail.com,2023-04-15,Gold,5
145,145,Customer145,LN145,customer145@shopmail.com,2025-02-15,Bronze,5
146,146,Customer146,LN146,customer146@shopmail.com,2024-09-08,Silver,7
147,147,Customer147,LN147,customer147@shopmail.com,2022-02-09,Gold,1
148,148,Customer148,LN148,customer148@shopmail.com,2022-09-27,Bronze,7
149,149,Customer149,LN149,customer149@shopmail.com,2024-08-02,Gold,1
150,150,Customer150,LN150,customer150@shopmail.com,2022-03-09,Bronze,5
151,151,Customer151,LN151,customer151@shopmail.com,2024-09-11,Silver,2
152,152,Customer152,LN152,customer152@shopmail.com,2022-11-20,Bronze,5
153,153,Customer153,LN153,customer153@shopmail.com,2024-11-21,Bronze,4
154,154,Customer154,LN154,customer154@shopmail.com,2022-12-04,Bronze,7
155,155,Customer155,LN155,customer155@shopmail.com,2023-05-15,Bronze,7
156,156,Customer156,LN156,customer156@shopmail.com,2024-02-01,Bronze,3
157,157,Customer157,LN157,customer157@shopmail.com,2022-05-26,Bronze,3
158,158,Customer158,LN158,customer158@shopmail.com,2023-10-03,Silver,2
159,159,Customer159,LN159,customer159@shopmail.com,2023-08-04,Bronze,2
160,160,Customer160,LN160,customer160@shopmail.com,2024-06-20,Bronze,3
161,161,Customer161,LN161,customer161@shopmail.com,2025-02-19,Gold,1
162,162,Customer162,LN162,customer162@shopmail.com,2024-02-03,Gold,2
163,163,Customer163,LN163,customer163@shopmail.com,2023-04-16,Bronze,4
164,164,Customer164,LN164,customer164@shopmail.com,2023-04-13,Bronze,3
165,165,Customer165,LN165,customer165@shopmail.com,2023-04-26,Silver,1
166,166,Customer166,LN166,customer166@shopmail.com,2024-07-25,Silver,2
167,167,Customer167,LN167,customer167@shopmail.com,2023-01-05,Bronze,7
168,168,Customer168,LN168,customer168@shopmail.com,2022-07-12,Silver,4
169,169,Customer169,LN169,customer169@shopmail.com,2023-01-20,Bronze,1
170,170,Customer170,LN170,customer170@shopmail.com,2022-01-27,Bronze,6
171,171,Customer171,LN171,customer171@shopmail.com,2022-05-03,Silver,5
172,172,Customer172,LN172,customer172@shopmail.com,2022-04-14,Silver,1
173,173,Customer173,LN173,customer173@shopmail.com,2024-06-06,Silver,3
174,174,Customer174,LN174,customer174@shopmail.com,2024-04-10,Bronze,1
175,175,Customer175,LN175,customer175@shopmail.com,2024-03-12,Bronze,4
176,176,Customer176,LN176,customer176@shopmail.com,2023-06-16,Bronze,2
177,177,Customer177,LN177,customer177@shopmail.com,2024-04-04,Bronze,4
178,178,Customer178,LN178,missing_178@shopmail.com,2022-07-05,Bronze,1
179,179,Customer179,LN179,customer179@shopmail.com,2024-11-01,Silver,2
180,180,Customer180,LN180,customer180@shopmail.com,2023-07-31,Silver,1
181,181,Customer181,LN181,customer181@shopmail.com,2024-12-14,Silver,3
182,182,Customer182,LN182,customer182@shopmail.com,2022-06-25,Bronze,7
183,183,Customer183,LN183,customer183@shopmail.com,2023-07-26,Bronze,6
184,184,Customer184,LN184,customer184@shopmail.com,2024-03-11,Silver,3
185,185,Customer185,LN185,customer185@shopmail.com,2023-07-24,Bronze,7
186,186,Customer186,LN186,customer186@shopmail.com,2023-05-29,Gold,5
187,187,Customer187,LN187,customer187@shopmail.com,2022-07-11,Bronze,3
188,188,Customer188,LN188,customer188@shopmail.com,2023-03-15,Silver,2
189,189,Customer189,LN189,customer189@shopmail.com,2022-10-02,Gold,7
190,190,Customer190,LN190,customer190@shopmail.com,2022-12-13,Silver,4
191,191,Customer191,LN191,customer191@shopmail.com,2024-02-26,Silver,7
192,192,Customer192,LN192,customer192@shopmail.com,2023-12-26,Silver,3
193,193,Customer193,LN193,customer193@shopmail.com,2023-11-30,Bronze,1
194,194,Customer194,LN194,customer194@shopmail.com,2023-02-21,Silver,2
195,195,Customer195,LN195,customer195@shopmail.com,2025-01-08,Gold,1
196,196,Customer196,LN196,customer196@shopmail.com,2022-04-11,Gold,1
197,197,Customer197,LN197,customer197@shopmail.com,2023-01-29,Bronze,3
198,198,Customer198,LN198,customer198@shopmail.com,2022-05-16,Bronze,3
199,199,Customer199,LN199,customer199@shopmail.com,2023-01-25,Silver,5
200,200,Customer200,LN200,customer200@shopmail.com,2025-01-11,Silver,3
201,201,Customer201,LN201,customer201@shopmail.com,2023-02-26,Bronze,1
202,202,Customer202,LN202,customer202@shopmail.com,2024-11-10,Bronze,1
203,203,Customer203,LN203,customer203@shopmail.com,2023-07-24,Bronze,3
204,204,Customer204,LN204,customer204@shopmail.com,2024-03-15,Bronze,7
205,205,Customer205,LN205,customer205@shopmail.com,2023-06-11,Bronze,5
206,206,Customer206,LN206,customer206@shopmail.com,2022-11-02,Bronze,1
207,207,Customer207,LN207,customer207@shopmail.com,2024-05-28,Bronze,7
208,208,Customer208,LN208,customer208@shopmail.com,2025-01-19,Gold,7
209,209,Customer209,LN209,customer209@shopmail.com,2022-10-31,Bronze,1
210,210,Customer210,LN210,customer210@shopmail.com,2024-06-14,Bronze,2
211,211,Customer211,LN211,customer211@shopmail.com,2022-10-28,Bronze,2
212,212,Customer212,LN212,customer212@shopmail.com,2024-04-04,Bronze,2
213,213,Customer213,LN213,customer213@shopmail.com,2024-06-26,Gold,1
214,214,Customer214,LN214,customer214@shopmail.com,2023-06-01,Gold,5
215,215,Customer215,LN215,customer215@shopmail.com,2024-04-27,Bronze,7
216,216,Customer216,LN216,customer216@shopmail.com,2022-11-10,Bronze,4
217,217,Customer217,LN217,customer217@shopmail.com,2022-04-02,Bronze,7
218,218,Customer218,LN218,customer218@shopmail.com,2022-04-21,Bronze,5
219,219,Customer219,LN219,customer219@shopmail.com,2023-05-30,Bronze,2
220,220,Customer220,LN220,customer220@shopmail.com,2024-11-03,Bronze,6
221,221,Customer221,LN221,customer221@shopmail.com,2022-05-27,Bronze,4
222,222,Customer222,LN222,customer222@shopmail.com,2023-06-09,Silver,3
223,223,Customer223,LN223,customer223@shopmail.com,2024-03-20,Bronze,3
224,224,Customer224,LN224,customer224@shopmail.com,2022-08-21,Bronze,7
225,225,Customer225,LN225,customer225@shopmail.com,2024-04-09,Bronze,5
226,226,Customer226,LN226,customer226@shopmail.com,2022-12-18,Bronze,1
227,227,Customer227,LN227,customer227@shopmail.com,2024-07-18,Bronze,4
228,228,Customer228,LN228,customer228@shopmail.com,2023-10-29,Bronze,7
229,229,Customer229,LN229,customer229@shopmail.com,2023-09-21,Bronze,2
230,230,Customer230,LN230,customer230@shopmail.com,2022-07-23,Bronze,4
231,231,Customer231,LN231,customer231@shopmail.com,2023-06-17,Silver,2
232,232,Customer232,LN232,customer232@shopmail.com,2024-09-12,Gold,1
233,233,Customer233,LN233,customer233@shopmail.com,2022-01-23,Bronze,4
234,234,Customer234,LN234,customer234@shopmail.com,2024-05-22,Bronze,4
235,235,Customer235,LN235,customer235@shopmail.com,2023-07-21,Silver,1
236,236,Customer236,LN236,customer236@shopmail.com,2024-04-07,Silver,3
237,237,Customer237,LN237,customer237@shopmail.com,2024-02-02,Bronze,5
238,238,Customer238,LN238,customer238@shopmail.com,2023-05-12,Bronze,7
239,239,Customer239,LN239,customer239@shopmail.com,2022-12-21,Bronze,3
240,240,Customer240,LN240,customer240@shopmail.com,2023-12-23,Silver,3
241,241,Customer241,LN241,customer241@shopmail.com,2022-06-11,Bronze,1
242,242,Customer242,LN242,customer242@shopmail.com,2023-11-03,Bronze,3
243,243,Customer243,LN243,customer243@shopmail.com,2022-04-19,Bronze,3
244,244,Customer244,LN244,customer244@shopmail.com,2024-01-18,Bronze,3
245,245,Customer245,LN245,customer245@shopmail.com,2023-12-25,Bronze,1
246,246,Customer246,LN246,customer246@shopmail.com,2022-04-08,Silver,4
247,247,Customer247,LN247,customer247@shopmail.com,2024-05-21,Silver,5
248,248,Customer248,LN248,customer248@shopmail.com,2023-04-24,Bronze,3
249,249,Customer249,LN249,customer249@shopmail.com,2024-06-23,Bronze,3
250,250,Customer250,LN250,customer250@shopmail.com,2022-02-17,Silver,5
251,251,Customer251,LN251,customer251@shopmail.com,2022-07-26,Bronze,2
252,252,Customer252,LN252,customer252@shopmail.com,2023-07-23,Bronze,1
253,253,Customer253,LN253,customer253@shopmail.com,2022-08-05,Bronze,7
254,254,Customer254,LN254,customer254@shopmail.com,2023-01-15,Silver,5
255,255,Customer255,LN255,customer255@shopmail.com,2024-01-30,Silver,1
256,256,Customer256,LN256,customer256@shopmail.com,2022-06-16,Gold,1
257,257,Customer257,LN257,customer257@shopmail.com,2024-02-19,Silver,2
258,258,Customer258,LN258,customer258@shopmail.com,2022-04-29,Bronze,4
259,259,Customer259,LN259,customer259@shopmail.com,2022-07-21,Bronze,7
260,260,Customer260,LN260,customer260@shopmail.com,2023-11-07,Bronze,4
261,261,Customer261,LN261,customer261@shopmail.com,2024-07-01,Silver,3
262,262,Customer262,LN262,customer262@shopmail.com,2022-07-16,Silver,2
263,263,Customer263,LN263,customer263@shopmail.com,2022-12-11,Bronze,5
264,264,Customer264,LN264,customer264@shopmail.com,2024-11-29,Gold,1
265,265,Customer265,LN265,customer265@shopmail.com,2025-02-12,Bronze,7
266,266,Customer266,LN266,customer266@shopmail.com,2023-10-31,Bronze,3
267,267,Customer267,LN267,customer267@shopmail.com,2023-05-30,Bronze,5
268,268,Customer268,LN268,customer268@shopmail.com,2023-02-03,Gold,5
269,269,Customer269,LN269,customer269@shopmail.com,2023-12-06,Gold,7
270,270,Customer270,LN270,customer270@shopmail.com,2023-11-11,Bronze,5
271,271,Customer271,LN271,customer271@shopmail.com,2022-12-05,Gold,4
272,272,Customer272,LN272,customer272@shopmail.com,2022-01-27,Gold,1
273,273,Customer273,LN273,customer273@shopmail.com,2022-06-24,Silver,4
274,274,Customer274,LN274,customer274@shopmail.com,2025-01-07,Gold,1
275,275,Customer275,LN275,customer275@shopmail.com,2023-04-26,Bronze,5
276,276,Customer276,LN276,customer276@shopmail.com,2023-07-09,Silver,4
277,277,Customer277,LN277,customer277@shopmail.com,2023-06-22,Silver,4
278,278,Customer278,LN278,customer278@shopmail.com,2024-06-19,Silver,7
279,279,Customer279,LN279,customer279@shopmail.com,2022-03-16,Bronze,1
280,280,Customer280,LN280,customer280@shopmail.com,2022-04-06,Silver,4
281,281,Customer281,LN281,customer281@shopmail.com,2022-11-14,Gold,7
282,282,Customer282,LN282,customer282@shopmail.com,2023-07-14,Bronze,7
283,283,Customer283,LN283,customer283@shopmail.com,2024-02-11,Gold,7
284,284,Customer284,LN284,customer284@shopmail.com,2023-07-19,Bronze,7
285,285,Customer285,LN285,customer285@shopmail.com,2023-05-23,Bronze,3
286,286,Customer286,LN286,customer286@shopmail.com,2024-12-14,Bronze,5
287,287,Customer287,LN287,customer287@shopmail.com,2022-07-05,Silver,4
288,288,Customer288,LN288,customer288@shopmail.com,2023-10-20,Silver,3
289,289,Customer289,LN289,customer289@shopmail.com,2023-09-16,Bronze,4
290,290,Customer290,LN290,customer290@shopmail.com,2023-06-29,Silver,4
291,291,Customer291,LN291,customer291@shopmail.com,2024-07-17,Bronze,7
292,292,Customer292,LN292,customer292@shopmail.com,2022-11-04,Bronze,3
293,293,Customer293,LN293,customer293@shopmail.com,2025-01-01,Gold,1
294,294,Customer294,LN294,customer294@shopmail.com,2023-01-17,Silver,7
295,295,Customer295,LN295,customer295@shopmail.com,2023-09-19,Silver,3
296,296,Customer296,LN296,customer296@shopmail.com,2023-08-22,Silver,7
297,297,Customer297,LN297,customer297@shopmail.com,2024-09-04,Gold,2
298,298,Customer298,LN298,customer298@shopmail.com,2023-05-20,Bronze,5
299,299,Customer299,LN299,customer299@shopmail.com,2022-11-24,Bronze,4
300,300,Customer300,LN300,customer300@shopmail.com,2022-01-25,Bronze,3
301,301,Customer301,LN301,customer301@shopmail.com,2023-02-23,Silver,2
302,302,Customer302,LN302,customer302@shopmail.com,2024-08-08,Silver,3
303,303,Customer303,LN303,customer303@shopmail.com,2022-01-12,Silver,4
304,304,Customer304,LN304,customer304@shopmail.com,2024-10-27,Bronze,1
305,305,Customer305,LN305,customer305@shopmail.com,2023-09-17,Bronze,4
306,306,Customer306,LN306,customer306@shopmail.com,2022-06-11,Silver,7
307,307,Customer307,LN307,customer307@shopmail.com,2022-12-14,Gold,1
308,308,Customer308,LN308,customer308@shopmail.com,2023-09-30,Bronze,7
309,309,Customer309,LN309,customer309@shopmail.com,2022-12-30,Bronze,2
310,310,Customer310,LN310,customer310@shopmail.com,2022-05-05,Bronze,1
311,311,Customer311,LN311,customer311@shopmail.com,2024-02-05,Bronze,3
312,312,Customer312,LN312,customer312@shopmail.com,2024-02-13,Bronze,3
313,313,Customer313,LN313,customer313@shopmail.com,2022-05-17,Bronze,4
314,314,Customer314,LN314,customer314@shopmail.com,2022-11-20,Silver,1
315,315,Customer315,LN315,customer315@shopmail.com,2022-10-08,Bronze,1
316,316,Customer316,LN316,customer316@shopmail.com,2024-01-29,Bronze,5
317,317,Customer317,LN317,customer317@shopmail.com,2024-04-19,Bronze,5
318,318,Customer318,LN318,customer318@shopmail.com,2024-04-16,Gold,2
319,319,Customer319,LN319,customer319@shopmail.com,2024-12-15,Bronze,7
320,320,Customer320,LN320,customer320@shopmail.com,2024-06-02,Bronze,4
321,321,Customer321,LN321,customer321@shopmail.com,2023-01-04,Bronze,4
322,322,Customer322,LN322,customer322@shopmail.com,2022-05-04,Silver,3
323,323,Customer323,LN323,customer323@shopmail.com,2023-12-08,Gold,7
324,324,Customer324,LN324,customer324@shopmail.com,2024-11-19,Bronze,1
325,325,Customer325,LN325,customer325@shopmail.com,2025-01-26,Bronze,3
326,326,Customer326,LN326,customer326@shopmail.com,2022-09-22,Bronze,1
327,327,Customer327,LN327,customer327@shopmail.com,2022-09-29,Silver,5
328,328,Customer328,LN328,customer328@shopmail.com,2022-02-13,Gold,4
329,329,Customer329,LN329,customer329@shopmail.com,2022-06-12,Bronze,4
330,330,Customer330,LN330,customer330@shopmail.com,2023-10-01,Bronze,1
331,331,Customer331,LN331,customer331@shopmail.com,2023-09-21,Silver,5
332,332,Customer332,LN332,customer332@shopmail.com,2023-03-03,Silver,7
333,333,Customer333,LN333,customer333@shopmail.com,2022-12-23,Bronze,1
334,334,Customer334,LN334,customer334@shopmail.com,2024-08-12,Bronze,3
335,335,Customer335,LN335,customer335@shopmail.com,2023-06-14,Bronze,5
336,336,Customer336,LN336,customer336@shopmail.com,2024-07-18,Silver,2
337,337,Customer337,LN337,customer337@shopmail.com,2025-01-12,Silver,7
338,338,Customer338,LN338,customer338@shopmail.com,2022-12-31,Silver,5
339,339,Customer339,LN339,customer339@shopmail.com,2022-08-22,Silver,1
340,340,Customer340,LN340,customer340@shopmail.com,2024-12-31,Bronze,1
341,341,Customer341,LN341,customer341@shopmail.com,2024-01-01,Bronze,4
342,342,Customer342,LN342,customer342@shopmail.com,2022-12-01,Bronze,5
343,343,Customer343,LN343,customer343@shopmail.com,2023-12-17,Gold,5
344,344,Customer344,LN344,customer344@shopmail.com,2023-08-16,Silver,1
345,345,Customer345,LN345,customer345@shopmail.com,2024-11-07,Bronze,4
346,346,Customer346,LN346,customer346@shopmail.com,2022-10-22,Bronze,1
347,347,Customer347,LN347,customer347@shopmail.com,2025-02-14,Silver,1
348,348,Customer348,LN348,customer348@shopmail.com,2024-12-12,Silver,1
349,349,Customer349,LN349,customer349@shopmail.com,2022-07-27,Silver,4
350,350,Customer350,LN350,customer350@shopmail.com,2022-07-09,Bronze,5
351,351,Customer351,LN351,customer351@shopmail.com,2023-09-06,Gold,4
352,352,Customer352,LN352,customer352@shopmail.com,2022-02-21,Silver,5
353,353,Customer353,LN353,customer353@shopmail.com,2022-12-10,Silver,2
354,354,Customer354,LN354,customer354@shopmail.com,2023-05-16,Silver,1
355,355,Customer355,LN355,customer355@shopmail.com,2025-01-19,Gold,7
356,356,Customer356,LN356,customer356@shopmail.com,2025-02-15,Gold,7
357,357,Customer357,LN357,customer357@shopmail.com,2022-06-24,Silver,7
358,358,Customer358,LN358,customer358@shopmail.com,2024-10-22,Bronze,7
359,359,Customer359,LN359,customer359@shopmail.com,2022-04-15,Bronze,2
360,360,Customer360,LN360,customer360@shopmail.com,2024-05-10,Silver,1
361,361,Customer361,LN361,customer361@shopmail.com,2024-08-30,Silver,5
362,362,Customer362,LN362,customer362@shopmail.com,2024-10-21,Bronze,7
363,363,Customer363,LN363,customer363@shopmail.com,2022-09-14,Bronze,5
364,364,Customer364,LN364,customer364@shopmail.com,2024-10-24,Gold,3
365,365,Customer365,LN365,customer365@shopmail.com,2022-05-14,Gold,4
366,366,Customer366,LN366,customer366@shopmail.com,2023-08-20,Gold,2
367,367,Customer367,LN367,customer367@shopmail.com,2023-06-24,Bronze,2
368,368,Customer368,LN368,customer368@shopmail.com,2022-12-30,Silver,5
369,369,Customer369,LN369,customer369@shopmail.com,2022-01-26,Silver,5
370,370,Customer370,LN370,customer370@shopmail.com,2024-06-06,Bronze,4
